Age Group,Country of Residence,Native Language,Years of Experience,Profession,Education,Work Preference,Important Job Aspect,Job Satisfaction (1-5),Organization Size
45+,Canada,German,07-אוק,Data Analyst,Other,Office work,Salary,2,"201-1,000 employees"
18-25,Israel,French,10+,Healthcare Professional,PhD,Hybrid,Growth opportunities,2,11-50 employees
36-45,Canada,Spanish,03-יונ,Data Analyst,High School,Office work,Work-life balance,5,1-10 employees
36-45,Australia,Other,0-2,Healthcare Professional,Other,Work from home,Work-life balance,5,"201-1,000 employees"
26-35,France,Spanish,03-יונ,Engineer,High School,Hybrid,Work-life balance,4,11-50 employees
26-35,India,German,0-2,Accountant,Bachelor's Degree,Work from home,Growth opportunities,1,51-200 employees
36-45,Australia,French,0-2,Teacher,Bachelor's Degree,Work from home,Growth opportunities,2,"1,000+ employees"
18-25,Israel,German,07-אוק,Teacher,PhD,Work from home,Other,5,51-200 employees
36-45,Germany,Mandarin,03-יונ,Teacher,PhD,Hybrid,Work-life balance,5,"201-1,000 employees"
18-25,Other,German,03-יונ,Engineer,PhD,Work from home,Other,3,51-200 employees
36-45,France,English,0-2,Accountant,High School,Office work,Job security,4,"201-1,000 employees"
36-45,Canada,English,0-2,Teacher,Master's Degree,Work from home,Job security,1,1-10 employees
45+,Australia,Hebrew,0-2,Marketing Specialist,PhD,Office work,Growth opportunities,1,"1,000+ employees"
18-25,France,Hebrew,03-יונ,Teacher,Bachelor's Degree,Hybrid,Growth opportunities,4,1-10 employees
18-25,Other,Other,03-יונ,Teacher,Master's Degree,Work from home,Work-life balance,5,11-50 employees
45+,UK,English,0-2,Teacher,PhD,Work from home,Other,1,"201-1,000 employees"
26-35,Israel,French,0-2,Healthcare Professional,High School,Office work,Growth opportunities,5,1-10 employees
18-25,India,English,10+,Data Analyst,High School,Work from home,Salary,4,1-10 employees
18-25,Israel,Mandarin,03-יונ,Other,PhD,Hybrid,Other,5,1-10 employees
36-45,Canada,Hebrew,07-אוק,Engineer,Other,Office work,Work-life balance,3,"1,000+ employees"
45+,India,Hebrew,07-אוק,Marketing Specialist,High School,Work from home,Work-life balance,5,"201-1,000 employees"
18-25,Canada,Mandarin,07-אוק,Healthcare Professional,Master's Degree,Work from home,Growth opportunities,3,"1,000+ employees"
36-45,Germany,German,07-אוק,Engineer,High School,Office work,Growth opportunities,1,51-200 employees
18-25,India,German,07-אוק,Accountant,Master's Degree,Work from home,Other,1,51-200 employees
18-25,Australia,Spanish,07-אוק,Teacher,Other,Hybrid,Job security,4,1-10 employees
36-45,USA,Hebrew,07-אוק,Other,Master's Degree,Work from home,Other,3,51-200 employees
26-35,Israel,Spanish,10+,Other,Other,Hybrid,Growth opportunities,1,"201-1,000 employees"
18-25,Australia,Mandarin,07-אוק,Accountant,PhD,Hybrid,Other,3,51-200 employees
